,Rank,Major,Early Career Pay,Mid-Career Pay,% High Meaning
69,70,Biomedical Engineering (BME),80300,133500,71
70,71,Industrial Engineering (IE),80500,133400,44
71,71,Software Engineering,84200,133400,45
72,73,Global & International Studies,59400,133300,55
73,74,Computer & Information Science,72600,133100,58
74,75,Aeronautical/Aerospace Engineering Technology,82400,132800,51
75,76,Economics and Mathematics,77100,132700,38
76,76,Industrial Hygiene,65100,132700,54
77,78,Engineering Mechanics,82800,131900,-
78,79,Business & Economics,66500,131700,44
79,80,Astrophysics,78600,131200,61
80,81,Electronics Engineering,77700,130900,65
81,81,Telecommunications Engineering,78000,130900,50
82,83,International Business & Finance,69000,130800,30
83,84,International Economics,66200,130600,54
84,85,Business Analysis,71000,130300,47
85,85,Management Science,73000,130300,43
86,85,Mechanical Engineering (ME),79600,130300,49
87,88,Economics,70500,130200,41
88,89,Ceramic Engineering,76400,129900,46
89,90,Management Information Systems (MIS),73900,129500,42
90,91,Industrial Distribution,71400,129200,48
91,92,Structural Engineering (SE),76200,128900,67
92,93,Accounting & Taxation,61900,128600,-
93,94,Integrated Science & Technology,71600,128400,55
94,95,Automotive Engineering,75700,128300,50
95,96,Mathematics & Statistics,71800,128100,43
96,97,Packaging Science,78600,127600,41
97,98,Construction Project Management,69400,127400,64
98,99,Plastics Engineering,79200,127200,58
99,100,Information & Decision Sciences,73200,126800,36
100,101,Applied Physics,75800,126500,53
101,102,Building Construction (BC),73200,125900,51
102,102,Petroleum Land Management,66600,125900,-
103,104,Industrial Engineering & Management,74800,125700,54
104,105,Accounting & Economics,74500,125400,48
105,105,Psychobiology,58600,125400,69
106,107,Finance & Economics,70300,124800,42
107,108,Medicine,88700,124700,94
108,109,Asian Studies,53100,123800,43
109,110,Marketing & International Business,59600,123500,36
110,111,Government,63500,123400,45
111,112,Business Computer Information Systems (BCIS),74200,123300,40
112,112,Finance & Real Estate,73500,123300,42
113,114,Biochemistry & Molecular Biology,61700,123100,70
114,114,Environmental Health & Safety Management,67500,123100,61
115,114,Financial Economics,70500,123100,36
116,117,Business Economics,66500,122800,45
117,117,Nuclear Engineering Technology (NET),92500,122800,54
118,119,Mathematics,72300,122700,44
119,120,Civil Engineering (CE),73400,122600,65
120,121,Business Information Systems,73800,122200,45
121,121,Information Systems Management,69500,122200,48
122,121,Polymer Science & Engineering,82900,122200,-
123,124,Information Security & Assurance,70000,122000,42
124,124,Applied Economics,69200,122000,41
125,126,International Management,63100,121900,42
126,126,Political Communication,56000,121900,51
127,126,Economics & Political Science,64200,121900,46
128,129,Accounting & Computer Systems,75400,121800,-
129,129,Civil & Environmental Engineering,73500,121800,66
130,129,Construction Management,71800,121800,59
131,129,Construction Science,77500,121800,67
132,133,Control Engineering,77700,121700,59
133,134,Russian Studies,56500,121600,41
134,135,Cybersecurity,72600,121500,56
135,136,Robotics & Automation,72700,121200,69
136,137,Computer Management Information Systems (CMIS),63900,121100,50
137,138,Aeronautical Science,64200,121000,62
138,138,Manufacturing Engineering,77500,121000,50
139,140,Information Systems (IS),73000,120600,45
140,141,Engineering Management,77400,120500,53
141,142,Computing & Information Systems (CIS),68900,120000,46
142,143,Mechanical,79800,119900,41
143,144,Business Logistics & Transportation,64700,119800,42
144,145,Biosystems Engineering,72600,119500,69
145,146,Agricultural Economics,61700,119400,57
146,147,Data Processing,73700,119300,42
147,147,Food Marketing,65000,119300,29
148,147,Geophysics,62700,119300,42
149,150,Management & Finance,64100,118800,61
150,151,Business Finance,65200,118600,44
151,151,Construction Engineering,75700,118600,60
152,151,Organic Chemistry,50600,118600,-
153,154,Real Estate,69400,118500,42
154,155,Finance,68500,118400,42
155,155,Plastics Engineering Technology,73600,118400,34
156,157,European Studies,60900,118100,41
157,157,Safety Science,70000,118100,68
158,159,Computer Science & Information Technology,73500,118000,48
159,160,Japanese Language,59900,117900,39
160,161,Information Sciences and Technology,72900,117800,45
161,161,International Business,63100,117800,40
162,163,Architectural Engineering,74600,117700,57
163,164,International Marketing,66700,117600,25
164,164,Molecular Biology,61700,117600,66
165,166,Building Construction Management,70500,117500,67
166,167,Business Operations,71300,117400,-
167,168,Computer Information Systems (CIS),69400,117300,47
168,168,Electrical Engineering Technology (EET),74000,117300,48
169,170,Government & International Politics (GVIP),58100,117200,44
170,171,Information Security,75000,117100,40
171,172,East Asian Studies,57500,116900,49
172,173,Strategic Management,74900,116700,48
173,174,Labor Relations,55700,116600,35
174,175,Entrepreneurship & Leadership,64300,116400,43
175,176,Agricultural Engineering (AE),71500,116300,62
176,177,Information Technology Management,71900,116100,48
177,177,International Relations,60500,116100,49
178,179,Financial Planning,61200,115800,59
179,180,Computer Engineering Technology (CET),71100,115700,45
180,180,Corporate Finance,72400,115700,40
181,182,Engineering Science,77500,115600,47
182,183,European History,59400,115500,41
183,184,Rhetoric,59300,114900,41
184,185,Network Engineering,69400,114600,51
185,186,Mechanical Design,68400,114500,50
186,187,Environmental Engineering,70400,114400,62
187,188,Chinese Language,61000,114000,42
188,188,Robotics,87900,114000,57
189,190,Economics & Management,61500,113800,47
190,191,Computing,71300,113600,55
191,191,Product Design,70000,113600,38
192,193,Mechanical Engineering Technology (MET),72300,113200,48
193,194,Industrial & Labor Relations,77000,113000,44
194,195,Food Science & Technology,59800,112800,49
195,196,Accounting & Auditing,65400,112700,44
196,197,Biochemistry (BCH),57100,112600,64
197,198,Accounting & Finance,66900,112500,46
198,198,Agricultural Economics & Business,62100,112500,56
199,198,Engineering Technology (ET),65800,112500,49
200,198,Biotechnology,61100,112500,62
201,202,Dairy Science,57700,112200,67
202,202,Operations Management (OM),69700,112200,44
203,202,Web Development,61600,112200,43
204,205,Industrial Management,65200,111900,51
205,205,Information Assurance,61600,111900,60
206,205,Telecommunication & Information Management,66800,111900,42
207,208,Environmental Policy Analysis & Planning,58200,111600,67
208,208,Pharmaceutical Sciences (PS),60900,111600,69
209,210,Aviation,65000,111400,52
210,210,Business & Marketing,59000,111400,46
211,210,Computer Networking Systems,64000,111400,48
212,210,Organizational Behavior,63500,111400,56
213,214,Consumer Economics,60600,111300,46
214,214,Information Technology (IT),67800,111300,46
215,214,Sales & Business Marketing,63900,111300,55
216,217,Aviation Management,58000,111200,56
217,217,Informatics,78700,111200,46
218,219,Industrial Safety,59400,111100,82
219,219,Structural Design & Construction Engineering Technology,77000,111100,48
220,221,Computer Security,76500,110800,43
221,221,Hotel Administration,76800,110800,37
222,221,Software Applications & Programming,71400,110800,33
223,224,Occupational Health and Safety,66800,110700,69
224,225,Database Management,74500,110600,-
225,226,Business Technology Management,69600,110400,41
226,226,Production Management,55800,110400,27
227,228,Business & Finance,63600,109800,54
228,229,Environmental Health & Safety,64800,109600,66
229,229,Information Technology (IT) & Systems,70400,109600,47
230,229,Telecommunications Management,60600,109600,46
231,232,Electronics Engineering Technology (EET),72600,109300,51
232,232,Marketing & Management,57700,109300,47
233,232,Operations & Supply Chain Management,69300,109300,45
234,232,Physical Therapy,54900,109300,88
235,232,Politics,59500,109300,51
236,237,Physics & Astronomy,63700,109200,33
237,238,Agribusiness,57600,109000,53
238,238,Chemistry,58500,109000,56
239,238,Finance & Banking,62600,109000,47
240,241,Aviation Flight Science (AFL),61500,108800,49
241,242,Construction Science & Management,73800,108600,75
242,243,Marketing,58200,108400,41
243,244,Cell Biology,56800,108100,55
244,244,Civil Engineering Technology (CET),66000,108100,61
245,244,Genetics,61200,108100,72
246,247,Government & Politics,59500,107800,51
247,248,Biopsychology,60300,107500,74
248,248,Applied Networking & Systems Administration,67200,107500,44
249,250,Industrial Technology (IT),71700,107400,50
250,251,Geological Engineering,68400,107200,51
251,251,Real Estate Development,66600,107200,-
